"";"species_phylacine";"hedge";"ledge";"hed";"hedge_rank";"ledge_rank";"hed_rank";"ED";"ES";"QEbased";"X2Hbased";"termBL";"meanD";"Order.1.2";"Family.1.2";"Genus.1.2";"Species.1.2";"Terrestrial";"Marine";"Freshwater";"Aerial";"Life.Habit.Method";"Life.Habit.Source";"Mass.g";"Mass.Method";"Mass.Source";"Mass.Comparison";"Mass.Comparison.Source";"Island.Endemicity";"IUCN.Status.1.2";"Added.IUCN.Status.1.2";"Diet.Plant";"Diet.Vertebrate";"Diet.Invertebrate";"Diet.Method";"Diet.Source";"range_size";"species_currentIUCN"
"458";"Burramys_parvus";33,756;1,044;34,8;1;4043;20;37,1833925071191;41,959150390625;0,00423862265147952;0,00465213574412563;34,8;181,249533527697;"Diprotodontia";"Burramyidae";"Burramys";"parvus";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";41,5;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"CR";"No";60;0;40;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";37249,4739465721;"Burramys parvus"
"3230";"Mystacina_robusta";28,44069973;0,879609270000001;29,320309;2;4298;26;38,1629291767747;41,8697548828125;0,000364970610885201;0,00047702099759025;28,34822;90,2403740250386;"Chiroptera";"Mystacinidae";"Mystacina";"robusta";0;0;0;1;"Taxonomic";"PHYLACINE 1.2";16,4;"Assumed isometric based on forearm length";"Mammalian Species 790: 1-8 (2006)";"Mystacina_tuberculata";"Mammalian Species 790: 1-8 (2006)";"Occurs only on isolated islands";"CR";"No";80;0;20;"Transformed 000 Genus";"Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.";0;"Mystacina robusta"
"555";"Camelus_ferus";24,2500000978972;0,750000003027751;25,000000100925;3;4528;47;19,2129069798953;21,0478811328125;0,000537520535951885;0,000674949655215897;6,862725;93,8661315434745;"Cetartiodactyla";"Camelidae";"Camelus";"ferus";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";690000;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"CR";"No";100;0;0;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";465618,424332152;"Camelus ferus"
"5402";"Varecia_rubra";22,073108704415;0,682673465085001;22,7557821695;4,5;4637,5;58,5;11,4330414264469;12,6284585009766;9,63710380430612e-05;0,000123974715874191;3,73167;92,7810199391185;"Primates";"Lemuridae";"Varecia";"rubra";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";3450;"Reported";"Garbutt N. Mammals of Madagascar a Complete Guide (2007)";NA;NA;"Occurs only on isolated islands";"CR";"No";100;0;0;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";37249,4739465721;"Varecia rubra"
"5403";"Varecia_variegata";22,073108704415;0,682673465085001;22,7557821695;4,5;4637,5;58,5;11,4330414264469;12,6284585009766;9,63710391180402e-05;0,000123974715845967;3,73167;92,7810199391185;"Primates";"Lemuridae";"Varecia";"variegata";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";3350;"Reported";"Garbutt N. Mammals of Madagascar a Complete Guide (2007)";NA;NA;"Occurs only on isolated islands";"CR";"No";100;0;0;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";139685,527299646;"Varecia variegata"
"1249";"Daubentonia_madagascariensis";21,6552;29,9048;51,56;6;19;5;41,0073821658163;44,846311015625;0,00175250445850851;0,00216516704346024;30,05979;93,2288149185388;"Primates";"Daubentoniidae";"Daubentonia";"madagascariensis";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";2500;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs only on isolated islands";"EN";"No";60;0;40;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";419056,581898937;"Daubentonia madagascariensis"
"1309";"Dicerorhinus_sumatrensis";21,626185544253;0,668851099306793;22,2950366435598;7;4664;61;19,5194877221203;19,7235265551758;0,000392015258212158;0,000511305331749015;11,52964;94,8519153755788;"Perissodactyla";"Rhinocerotidae";"Dicerorhinus";"sumatrensis";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";1266667;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"CR";"No";100;0;0;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";93123,6848664304;"Dicerorhinus sumatrensis"
"4816";"Solenodon_cubanus";19,45038291;26,86005259;46,3104355;8,5;26,5;8,5;33,1943742105157;36,11177453125;0,0016610078687552;0,00207358209776132;15,1452;95,2664027593895;"Eulipotyphla";"Solenodontidae";"Solenodon";"cubanus";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";650;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs only on isolated islands";"EN";"No";40;30;30;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";18624,7369732861;"Atopogale cubana"
"4817";"Solenodon_paradoxus";19,45038291;26,86005259;46,3104355;8,5;26,5;8,5;35,797958543849;38,13907265625;0,00164727867403816;0,00206042465368539;17,82606;95,2672309801063;"Eulipotyphla";"Solenodontidae";"Solenodon";"paradoxus";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";900;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs only on isolated islands";"EN";"No";40;30;30;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";121060,790326359;"Solenodon paradoxus"
"2114";"Indri_indri";18,9407002196382;0,58579485215376;19,526495071792;10;4802;80;20,2880687754246;22,8644560009766;0,000154157783831545;0,000197518673017145;19,526495;92,7622456799863;"Primates";"Indriidae";"Indri";"indri";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";8000;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs only on isolated islands";"CR";"No";100;0;0;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";130373,158813003;"Indri indri"
