"";"species_phylacine";"hedge";"ledge";"hed";"hedge_rank";"ledge_rank";"hed_rank";"ED";"ES";"QEbased";"X2Hbased";"termBL";"meanD";"Order.1.2";"Family.1.2";"Genus.1.2";"Species.1.2";"Terrestrial";"Marine";"Freshwater";"Aerial";"Life.Habit.Method";"Life.Habit.Source";"Mass.g";"Mass.Method";"Mass.Source";"Mass.Comparison";"Mass.Comparison.Source";"Island.Endemicity";"IUCN.Status.1.2";"Added.IUCN.Status.1.2";"Diet.Plant";"Diet.Vertebrate";"Diet.Invertebrate";"Diet.Method";"Diet.Source";"range_size";"species_currentIUCN"
"3604";"Orycteropus_afer";0,003929;78,576071;78,58;1878;1;1;78,8259446968824;97,668125;0,0146913455567603;0,0158778178067106;78,58;106,972960041159;"Tubulidentata";"Orycteropodidae";"Orycteropus";"afer";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";52350,4;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"LC";"No";0;0;100;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";20822455,9361338;"Orycteropus afer"
"1388";"Dromiciops_gliroides";0,25672;63,92328;64,18;931;2;2;64,5191670107549;86,465625;0,024091689214168;0,02382929604825;64,18;181,799103069799;"Microbiotheria";"Microbiotheriidae";"Dromiciops";"gliroides";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";22,3;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"NT";"No";0;0;100;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";270058,686112648;"Dromiciops gliroides"
"4351";"Ptilocercus_lowii";0,002794;55,877206;55,88;1927;3;3;57,2510962664791;72,676328125;0,0054041010591192;0,00620727513328187;55,88;94,3142085405591;"Scandentia";"Ptilocercidae";"Ptilocercus";"lowii";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";41,9;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"LC";"No";30;30;40;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";893987,374717731;"Ptilocercus lowii"
"3386";"Neurotrichus_gibbsii";0,0026;51,9974;52;1931;4;4;52,5940632306622;66,5087890625;0,00249323991542533;0,00300989070852346;52;94,964174241125;"Eulipotyphla";"Talpidae";"Neurotrichus";"gibbsii";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";8,9;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"LC";"No";10;0;90;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";419056,581898937;"Neurotrichus gibbsii"
"227";"Aplodontia_rufa";0,002456;49,117544;49,12;1937;5;6;49,2172847998891;57,6928955078125;0,00122560420815249;0,0015250213592602;49,12;87,8090550505917;"Rodentia";"Aplodontiidae";"Aplodontia";"rufa";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";1004;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"LC";"No";100;0;0;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";558742,109198582;"Aplodontia rufa"
"3231";"Mystacina_tuberculata";2,36033733;44,84640927;47,2067466;218;6;7;38,1629291767747;41,8697548828125;0,000364970610840209;0,000477020997577546;28,34822;90,2403740250386;"Chiroptera";"Mystacinidae";"Mystacina";"tuberculata";0;0;0;1;"Taxonomic";"PHYLACINE 1.2";12,6;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs only on isolated islands";"VU";"No";11;0;89;"Transformed 000 Species";"Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.";195559,738219504;"Mystacina tuberculata"
"861";"Craseonycteris_thonglongyai";2,3125;43,9375;46,25;225;7;10;47,7170219255488;52,0612548828125;0,000939320626905142;0,00120200276199498;46,25;91,5318950437318;"Chiroptera";"Craseonycteridae";"Craseonycteris";"thonglongyai";0;0;0;1;"Taxonomic";"PHYLACINE 1.2";2,2;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"VU";"No";0;0;100;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";65186,5794065013;"Craseonycteris thonglongyai"
"2200";"Laonastes_aenigmamus";0,0021565;43,1278435;43,13;1947;8;11;46,1658983343086;54,8278955078125;0,00119802172269616;0,00150140755076753;43,13;88,3792368375922;"Rodentia";"Diatomyidae";"Laonastes";"aenigmamus";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";375;"Reported";"Francis CM. A Guide to the Mammals of Southeast Asia (2008)";NA;NA;"Occurs on mainland";"LC";"No";100;0;0;"Transformed 000 Species";"Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.";37249,4739465721;"Laonastes aenigmamus"
"1910";"Heterocephalus_glaber";0,0019987865;39,9737312135;39,97573;1953;9;12;40,5041535475921;43,6176019384766;0,000427409829295257;0,000558861729503027;39,97573;87,6879712262048;"Rodentia";"Bathyergidae";"Heterocephalus";"glaber";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";55;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"LC";"No";100;0;0;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";1722788,17002896;"Heterocephalus glaber"
"3239";"Nandinia_binotata";0,001983;39,658017;39,66;1954;10;13;39,8888958612253;53,9087548828125;0,00115089388113675;0,00141057731974265;39,66;93,2446990224661;"Carnivora";"Nandiniidae";"Nandinia";"binotata";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";2000;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"LC";"No";80;10;10;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";7272959,78806821;"Nandinia binotata"
"1178";"Cyclopes_didactylus";0,00193250000011081;38,6480675022161;38,6500000022162;1955;11;15;43,8194889198676;57,22390625;0,00815955296560091;0,00898717426115763;38,65;105,081013548276;"Pilosa";"Cyclopedidae";"Cyclopes";"didactylus";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";329,5;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"LC";"No";0;0;100;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";9256494,27572318;"Cyclopes didactylus"
"5137";"Tarsipes_rostratus";0,001906;38,118094;38,12;1956;12;16;38,8233704144111;42,2533251953125;0,00337208095310261;0,00373405648403978;38,12;181,198221574344;"Diprotodontia";"Tarsipedidae";"Tarsipes";"rostratus";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";9;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"LC";"No";100;0;0;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";465618,424332152;"Tarsipes rostratus"
