"";"species";"range_size"
"1";"Abditomys_latidens";46561,8424332152
"2";"Abeomelomys_sevia";93123,6848664304
"3";"Abrawayaomys_ruschii";186247,369732861
"4";"Abrocoma_bennettii";260746,317626005
"5";"Abrocoma_boliviensis";9312,36848664304
"6";"Abrocoma_budini";18624,7369732861
"7";"Abrocoma_cinerea";763614,215904729
"8";"Abrocoma_famatina";37249,4739465721
"9";"Abrocoma_shistacea";37249,4739465721
"10";"Abrocoma_uspallata";9312,36848664304
"11";"Abrocoma_vaccarum";9312,36848664304
"12";"Abrothrix_andinus";959173,954124233
"13";"Abrothrix_illutea";111748,421839716
"14";"Abrothrix_jelskii";828800,79531123
"15";"Abrothrix_lanosus";158310,264272932
"16";"Abrothrix_longipilis";1080234,74445059
"17";"Abrothrix_olivaceus";1648289,22213582
"18";"Abrothrix_sanborni";111748,421839716
"19";"Acerodon_celebensis";549429,740711939
"20";"Acerodon_humilis";18624,7369732861
"21";"Acerodon_jubatus";642553,42557837
"22";"Acerodon_leucotis";111748,421839716
"23";"Acerodon_mackloti";307308,16005922
"24";"Acinonyx_jubatus";8101760,58337944
"25";"Acomys_airensis";2216343,69982104
"26";"Acomys_cahirinus";4972804,77186738
"27";"Acomys_cilicicus";9312,36848664304
"28";"Acomys_cineraceus";1545853,16878274
"29";"Acomys_dimidiatus";2514339,49139362
"30";"Acomys_ignitus";204872,106706147
"31";"Acomys_johannis";679802,899524942
"32";"Acomys_kempi";847425,532284516
"33";"Acomys_louisae";1015048,16504409
"34";"Acomys_minous";55874,2109198582
"35";"Acomys_mullah";325932,897032506
"36";"Acomys_nesiotes";55874,2109198582
"37";"Acomys_percivali";400431,844925651
"38";"Acomys_russatus";1210607,90326359
"39";"Acomys_seurati";428368,95038558
"40";"Acomys_spinosissimus";2300155,01620083
"41";"Acomys_subspinosus";158310,264272932
"42";"Acomys_wilsoni";1732100,5385156
"43";"Aconaemys_fuscus";74498,9478931443
"44";"Aconaemys_porteri";74498,9478931443
"45";"Aconaemys_sagei";121060,790326359
"46";"Acratocnus_odontrigonus";0
"47";"Acratocnus_ye";0
"48";"Acrobates_pygmaeus";1843848,96035532
"49";"Addax_nasomaculatus";223496,843679433
"50";"Aegialomys_galapagoensis";9312,36848664304
"51";"Aegialomys_xanthaeolus";614616,32011844
"52";"Aepeomys_lugens";65186,5794065013
"53";"Aepeomys_reigi";27937,1054599291
"54";"Aepyceros_melampus";4293001,87234244
"55";"Aepyprymnus_rufescens";884675,006231088
"56";"Aeretes_melanopterus";158310,264272932
"57";"Aeromys_tephromelas";772926,584391372
"58";"Aeromys_thomasi";679802,899524942
"59";"Aethalops_aequalis";270058,686112648
"60";"Aethalops_alecto";577366,846171868
"61";"Aethomys_bocagei";437681,318872223
"62";"Aethomys_chrysophilus";4926242,92943417
"63";"Aethomys_granti";251433,949139362
"64";"Aethomys_hindei";2942708,4417792
"65";"Aethomys_ineptus";782238,952878015
"66";"Aethomys_kaiseri";2207031,3313344
"67";"Aethomys_namaquensis";3883257,65893015
"68";"Aethomys_nyikae";1173358,42931702
"69";"Aethomys_silindensis";83811,3163797873
"70";"Aethomys_stannarius";242121,580652719
"71";"Aethomys_thomasi";437681,318872223
"72";"Agalmaceros_blicki";0
"73";"Ailuropoda_melanoleuca";242121,580652719
"74";"Ailurops_melanotis";27937,1054599291
"75";"Ailurops_ursinus";493555,529792081
"76";"Ailurus_fulgens";782238,952878015
"77";"Akodon_aerosus";428368,95038558
