;species_phylacine;hedge;ledge;hed;hedge_rank;ledge_rank;hed_rank;ED;ES;QEbased;X2Hbased;termBL;meanD;Order.1.2;Family.1.2;Genus.1.2;Species.1.2;Terrestrial;Marine;Freshwater;Aerial;Life.Habit.Method;Life.Habit.Source;Mass.g;Mass.Method;Mass.Source;Mass.Comparison;Mass.Comparison.Source;Island.Endemicity;IUCN.Status.1.2;Added.IUCN.Status.1.2;Diet.Plant;Diet.Vertebrate;Diet.Invertebrate;Diet.Method;Diet.Source;range_size;species_currentIUCN.x;code;title;species_currentIUCN.y;conservation_classification;Imputed.Status;introduced
1;Abrocoma_boliviensis;12,45460765;0,385194051;12,8398017;20;5075;208;15,59087698;17,28872043;2,60E-05;3,58E-05;12,373175;86,98196616;Rodentia;Abrocomidae;Abrocoma;boliviensis;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;158;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs on mainland;CR;No;100;0;0;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;9312,368487;Abrocoma boliviensis;1.1;Site/area protection;Abrocoma boliviensis;1 Land/water protection;CR;no
2;Abrocoma_budini;0,239439467;4,54934987;4,788789337;954;1151;1229;9,184145406;8,705220553;1,10E-05;1,51E-05;4,169235;86,97677396;Rodentia;Abrocomidae;Abrocoma;budini;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;360,7;Assumed isometric based on head-body length;Journal of Mammalogy 83: 1-19 (2002);Abrocoma_cinerea;Journal of Mammalogy 83: 1-19 (2002);Occurs on mainland;DD;No;100;0;0;Transformed 000 Genus;Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.;18624,73697;Abrocoma budini;1.1;Site/area protection;Abrocoma budini;1 Land/water protection;VU;no
3;Abrocoma_famatina;0,234900487;4,463109245;4,698009732;964;1180;1260;9,275877733;8,258667308;1,05E-05;1,46E-05;3,88975;86,97713459;Rodentia;Abrocomidae;Abrocoma;famatina;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;233,4;Assumed isometric based on head-body length;Journal of Mammalogy 83: 1-19 (2002);Abrocoma_cinerea;Journal of Mammalogy 83: 1-19 (2002);Occurs on mainland;DD;No;100;0;0;Transformed 000 Genus;Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.;37249,47395;Abrocoma famatina;2.1;Site/area management;Abrocoma famatina;2 Land/water management;VU;no
4;Abrocoma_uspallata;3,020988704;4,171841543;7,192830247;169;1270;693;10,77680273;11,36371477;1,50E-05;2,07E-05;5,819085;86,9788721;Rodentia;Abrocomidae;Abrocoma;uspallata;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;245,8;Assumed isometric based on head-body length;Journal of Mammalogy 83: 1-19 (2002);Abrocoma_cinerea;Journal of Mammalogy 83: 1-19 (2002);Occurs on mainland;DD;No;100;0;0;Transformed 000 Species;Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.;9312,368487;Abrocoma uspallata;2.1;Site/area management;Abrocoma uspallata;2 Land/water management;EN;no
5;Abrocoma_vaccarum;1,586816952;2,191318648;3,7781356;354;2567;1686;9,161199799;8,333297073;1,09E-05;1,51E-05;3,6776;86,97708937;Rodentia;Abrocomidae;Abrocoma;vaccarum;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;254,3;Assumed isometric based on head-body length;Journal of Mammalogy 83: 1-19 (2002);Abrocoma_cinerea;Journal of Mammalogy 83: 1-19 (2002);Occurs on mainland;DD;No;100;0;0;Transformed 000 Species;Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.;9312,368487;Abrocoma vaccarum;none;none;Abrocoma vaccarum;None;EN;no
6;Acerodon_celebensis;0,101751548;1,933279404;2,035030951;1200;2830;3019;3,540225279;3,568592455;6,85E-06;8,63E-06;1,74906;90,07625326;Chiroptera;Pteropodidae;Acerodon;celebensis;0;0;0;1;Taxonomic;PHYLACINE 1.2;390;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs only on isolated islands;VU;No;100;0;0;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;549429,7407;Acerodon celebensis;2.1;Site/area management;Acerodon celebensis;2 Land/water management;VU;no
7;Acerodon_humilis;0,680713115;0,940032397;1,620745512;640;4230;3484;3,716927378;3,365209276;6,43E-06;8,13E-06;1,50873;90,07590642;Chiroptera;Pteropodidae;Acerodon;humilis;0;0;0;1;Taxonomic;PHYLACINE 1.2;599,6;Assumed isometric based on forearm length;Flannery TM. Mammals of the South West Pacific & Moluccan Islands (1994);Acerodon_celebensis;Flannery TM. Mammals of the South West Pacific & Moluccan Islands (1994);Occurs only on isolated islands;EN;No;100;0;0;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;18624,73697;Acerodon humilis;1.1;Site/area protection;Acerodon humilis;1 Land/water protection;EN;no
8;Acerodon_humilis;0,680713115;0,940032397;1,620745512;640;4230;3484;3,716927378;3,365209276;6,43E-06;8,13E-06;1,50873;90,07590642;Chiroptera;Pteropodidae;Acerodon;humilis;0;0;0;1;Taxonomic;PHYLACINE 1.2;599,6;Assumed isometric based on forearm length;Flannery TM. Mammals of the South West Pacific & Moluccan Islands (1994);Acerodon_celebensis;Flannery TM. Mammals of the South West Pacific & Moluccan Islands (1994);Occurs only on isolated islands;EN;No;100;0;0;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;18624,73697;Acerodon humilis;2.1;Site/area management;Acerodon humilis;2 Land/water management;EN;no
9;Acerodon_humilis;0,680713115;0,940032397;1,620745512;640;4230;3484;3,716927378;3,365209276;6,43E-06;8,13E-06;1,50873;90,07590642;Chiroptera;Pteropodidae;Acerodon;humilis;0;0;0;1;Taxonomic;PHYLACINE 1.2;599,6;Assumed isometric based on forearm length;Flannery TM. Mammals of the South West Pacific & Moluccan Islands (1994);Acerodon_celebensis;Flannery TM. Mammals of the South West Pacific & Moluccan Islands (1994);Occurs only on isolated islands;EN;No;100;0;0;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;18624,73697;Acerodon humilis;4.3;Awareness & communications;Acerodon humilis;4 Education & awareness;EN;no
10;Acerodon_jubatus;0,785058204;1,084127996;1,8691862;592;3986;3185;3,562961305;3,520013114;6,50E-06;8,22E-06;1,73008;90,07584371;Chiroptera;Pteropodidae;Acerodon;jubatus;0;0;0;1;Taxonomic;PHYLACINE 1.2;1075;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs only on isolated islands;EN;No;100;0;0;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;642553,4256;Acerodon jubatus;1.1;Site/area protection;Acerodon jubatus;1 Land/water protection;EN;no
