;species_phylacine;hedge;ledge;hed;hedge_rank;ledge_rank;hed_rank;ED;ES;QEbased;X2Hbased;termBL;meanD;Order.1.2;Family.1.2;Genus.1.2;Species.1.2;Terrestrial;Marine;Freshwater;Aerial;Life.Habit.Method;Life.Habit.Source;Mass.g;Mass.Method;Mass.Source;Mass.Comparison;Mass.Comparison.Source;Island.Endemicity;IUCN.Status.1.2;Added.IUCN.Status.1.2;Diet.Plant;Diet.Vertebrate;Diet.Invertebrate;Diet.Method;Diet.Source;range_size;species_currentIUCN.x;species_currentIUCN.y;code;title;conservation_classification;Imputed.Status;introduced
1;Abeomelomys_sevia;0,000208015;4,160081986;4,16029;2891;1276;1464;5,01980153;6,069626375;1,77E-07;2,53E-07;3,9746;76,44332373;Rodentia;Muridae;Abeomelomys;sevia;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;52;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs on large land bridge islands;LC;No;78;3;19;Imputed 000 Species;PHYLACINE 1.2;93123,68487;Abeomelomys sevia;Abeomelomys sevia;none;none;None;LC;no
2;Abrawayaomys_ruschii;0,000284723;5,694170716;5,694455439;2593;852;980;7,367074017;8,287512834;3,92E-07;5,61E-07;5,69437;76,58960327;Rodentia;Cricetidae;Abrawayaomys;ruschii;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;63;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs on mainland;LC;No;88;1;11;Imputed 000 Species;PHYLACINE 1.2;186247,3697;Abrawayaomys ruschii;Abrawayaomys ruschii;none;none;None;LC;no
3;Abrocoma_bennettii;0,000726592;14,531118;14,53184459;2069;129;149;15,14480314;17,53734981;2,59E-05;3,57E-05;11,85064;86,98218863;Rodentia;Abrocomidae;Abrocoma;bennettii;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;250;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs on mainland;LC;No;100;0;0;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;260746,3176;Abrocoma bennettii;Abrocoma bennettii;none;none;None;LC;no
4;Abrocoma_budini;0,239439467;4,54934987;4,788789337;954;1151;1229;9,184145406;8,705220553;1,10E-05;1,51E-05;4,169235;86,97677396;Rodentia;Abrocomidae;Abrocoma;budini;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;360,7;Assumed isometric based on head-body length;Journal of Mammalogy 83: 1-19 (2002);Abrocoma_cinerea;Journal of Mammalogy 83: 1-19 (2002);Occurs on mainland;DD;No;100;0;0;Transformed 000 Genus;Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.;18624,73697;Abrocoma budini;Abrocoma budini;1.1;Site/area protection;1 Land/water protection;VU;no
5;Abrocoma_cinerea;0,000224839;4,496558245;4,496783085;2814;1166;1335;8,772764489;8,145177296;9,64E-06;1,35E-05;3,795825;86,97669858;Rodentia;Abrocomidae;Abrocoma;cinerea;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;250;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs on mainland;LC;No;100;0;0;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;763614,2159;Abrocoma cinerea;Abrocoma cinerea;none;none;None;LC;no
6;Abrocoma_famatina;0,234900487;4,463109245;4,698009732;964;1180;1260;9,275877733;8,258667308;1,05E-05;1,46E-05;3,88975;86,97713459;Rodentia;Abrocomidae;Abrocoma;famatina;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;233,4;Assumed isometric based on head-body length;Journal of Mammalogy 83: 1-19 (2002);Abrocoma_cinerea;Journal of Mammalogy 83: 1-19 (2002);Occurs on mainland;DD;No;100;0;0;Transformed 000 Genus;Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.;37249,47395;Abrocoma famatina;Abrocoma famatina;2.1;Site/area management;2 Land/water management;VU;no
7;Abrocoma_shistacea;0,000206943;4,138662583;4,138869526;2903;1289;1479;8,497385608;7,190539709;9,24E-06;1,29E-05;3,296405;86,97679642;Rodentia;Abrocomidae;Abrocoma;shistacea;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;276,3;Assumed isometric based on head-body length;Journal of Mammalogy 83: 1-19 (2002);Abrocoma_cinerea;Journal of Mammalogy 83: 1-19 (2002);Occurs on mainland;LC;No;100;0;0;Transformed 000 Species;Gainsbury, A. M., et al. 2018. An updated global data set for diet preferences in terrestrial mammals: testing the validity of extrapolation. Mammal Review, 1-8.;37249,47395;Abrocoma shistacea;Abrocoma shistacea;none;none;None;LC;no
8;Abrocoma_uspallata;3,020988704;4,171841543;7,192830247;169;1270;693;10,77680273;11,36371477;1,50E-05;2,07E-05;5,819085;86,9788721;Rodentia;Abrocomidae;Abrocoma;uspallata;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;245,8;Assumed isometric based on head-body length;Journal of Mammalogy 83: 1-19 (2002);Abrocoma_cinerea;Journal of Mammalogy 83: 1-19 (2002);Occurs on mainland;DD;No;100;0;0;Transformed 000 Species;Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.;9312,368487;Abrocoma uspallata;Abrocoma uspallata;2.1;Site/area management;2 Land/water management;EN;no
9;Acinonyx_jubatus;0,23710875;4,505066253;4,742175004;957;1162;1243;6,19289685;6,070632573;1,31E-05;1,71E-05;4,742175;92,90999206;Carnivora;Felidae;Acinonyx;jubatus;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;46700;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs on mainland;VU;No;0;100;0;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;8101760,583;Acinonyx jubatus;Acinonyx jubatus;1.1;Site/area protection;1 Land/water protection;VU;no
10;Acinonyx_jubatus;0,23710875;4,505066253;4,742175004;957;1162;1243;6,19289685;6,070632573;1,31E-05;1,71E-05;4,742175;92,90999206;Carnivora;Felidae;Acinonyx;jubatus;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;46700;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs on mainland;VU;No;0;100;0;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;8101760,583;Acinonyx jubatus;Acinonyx jubatus;1.2;Resource & habitat protection;1 Land/water protection;VU;no
