"";"median_ED";"sd_ED";"median_ES";"sd_ES";"median_QEbased";"sd_QEbased";"median_2Hbased";"sd_2Hbased";"median_termBL";"sd_termBL";"median_meanD";"sd_meanD"
"Echymipera_davidi";9,60303681766513;3,40452579650114;7,69200599487305;4,20694345415033;0,000449518290999878;0,000308894146197232;0,000487589186235867;0,000334862404635123;3,81456;4,28425118794324;181,499844671583;0,00994684464008563
"Echymipera_kalubu";9,58530205576037;2,59280499604985;7,51974708862305;3,08449180002685;0,000428740668506269;0,000196111974882467;0,000463608204124808;0,000213823847363548;3,897955;3,11340728697043;181,49973318213;0,00948649456353075
"Echymipera_rufescens";9,46781209544291;2,33174097487635;7,01830455566406;2,77156083317263;0,000424513320445152;0,000178883437487169;0,000462114557444466;0,000194801274296551;3,856815;2,70767845811117;181,49973318213;0,0094194521151466
"Echymipera_clara";11,2906671192524;3,17385629840554;10,4377094238281;3,87270772457398;0,000611061600061605;0,000264400203887757;0,000667335385467586;0,000286534104746304;6,01564;4,19249351702825;181,50022376522;0,00968524785179284
"Echymipera_echinista";9,88362703195085;2,71880903892597;8,15490790283203;3,33913984983602;0,000482818767008567;0,000221727246012391;0,000521791243734217;0,000240275009680357;4,378705;3,59281572858628;181,499711558909;0,00940393184442734
"Microperoryctes_aplini";11,1953417105223;2,99838190185215;10,9093151806641;3,58171406006636;0,000633622172643246;0,00029584077312997;0,000686495436166936;0,000318764045176087;6,094635;3,85460677388087;181,50144119362;0,00965988285543774
"Microperoryctes_longicauda";10,0230054009985;2,26901287953872;8,03184573974609;2,75638627081383;0,000514143128584064;0,000185399531744054;0,000557464712117424;0,000201348566083648;4,089605;2,59799541150473;181,500601952495;0,00943292764164317
"Microperoryctes_papuensis";9,84198946052228;2,35032230880083;7,53555712768555;2,83126282609773;0,000469445227875986;0,000188913710353809;0,000509414661649722;0,000205237774761191;3,324575;2,7270850836809;181,500601952495;0,00946146527059284
"Microperoryctes_murina";9,92216224623656;3,02269619862108;7,99784058349609;3,70932586993511;0,000510336917066372;0,000268285789841681;0,000556760484663063;0,000290619859231421;3,723915;3,8949046049387;181,500900366146;0,00966543066174282
"Rhynchomeles_prattorum";14,9700340081413;3,4547280561556;16,4047757714844;3,4555246594534;0,00109258451379041;0,000389202324117999;0,00117772405406681;0,000417414344386476;11,992375;3,78333574806673;181,504074277139;0,0102819157750681
"Peroryctes_broadbenti";11,9321466390937;2,85502408623577;10,4386705175781;3,47518387467616;0,000852696356466695;0,000333862275712005;0,000924102215995236;0,000360219624081307;4,828535;3,64066378664358;181,507805671411;0,0101855777374447
"Peroryctes_spA";11,6462656867128;3,23468134090802;9,51320348632812;4,10059799485035;0,000804521815274213;0,000363708697978663;0,00086866496515428;0,000391459295159546;3,66051;4,46292456758022;181,507764894529;0,0101989465174188
"Peroryctes_raffrayana";11,997672472427;2,88344981193008;10,6802261425781;3,63333577811318;0,000852242536594607;0,00032355652576406;0,000921272902477315;0,000348340375827453;5,16598;3,9217709857673;181,50800773881;0,0100620727047439
"PeroryctinaeGen_spA";16,5288221477517;3,83206924041435;19,4432070214844;3,18791580702359;0,00164935044259887;0,000473278510242333;0,0017711127319847;0,000505361477018254;13,01239;4,49910990761382;181,50982422226;0,0106924857254873
"Isoodon_obesulus";11,3178718176651;2,38884246679338;10,0889122851563;3,22683085918539;0,000908366628877091;0,000337942572696743;0,000979912176329192;0,000362970800657565;4,262735;3,01899422390938;181,510746933631;0,009736049111375
"Isoodon_auratus";11,1081599129032;2,14834504249886;9,79478647949219;2,18034687805268;0,000883498470881752;0,00025906145879266;0,000951670550903499;0,000278850918369329;3,383725;2,62676219673069;181,510746933631;0,00969441044246282
"Isoodon_macrourus";12,5245508652842;2,66470894292142;15,1134120703125;3,27388327210918;0,0011707401819369;0,000393084633044183;0,00125772909782948;0,000419877650367383;6,819955;3,3800533026009;181,510893183845;0,00981737783701595
"Perameles_bougainville";12,5896966390937;3,12478804489007;12,5185750976562;3,69804333849511;0,00114183798977764;0,000407280629585031;0,00122513266368456;0,00043654446344158;7,59432;3,96469136493417;181,51100028983;0,00982474937108423
"Perameles_eremiana";13,0223742581413;3,00294417145311;13,0473016601563;3,67014350775179;0,00116292582541402;0,000380753602613089;0,00124991885324483;0,000408223290804501;7,837695;3,94056345691434;181,510605968959;0,00973219907102706
"Perameles_nasuta";10,9722913414747;2,67854307869915;9,36588116699219;3,09542775331392;0,000835244071522018;0,000309930607433151;0,000896111330694573;0,000333837560085367;3,56151;3,3060035781891;181,509888694907;0,00962648342521103
"Perameles_gunnii";10,9722913414747;2,68293721968229;9,42097416015625;3,12704456804347;0,000835244071288837;0,000312232502986397;0,00089611133069281;0,000336284616344771;3,591685;3,30804713128775;181,509888694907;0,00963202848330001
"Macrotis_lagotis";17,7330775319508;3,67595661874442;19,669599140625;4,46996058904776;0,00288735652791346;0,000738403934960984;0,00305153937408594;0,000784141381044675;7,584385;6,24332950634238;181,534247750815;0,00344017656585429
"Macrotis_leucura";17,7330775319508;3,67595661874442;19,669599140625;4,46996058904776;0,00288735652731262;0,000738403934884133;0,00305153937401174;0,000784141381111217;7,584385;6,24332950634238;181,534247750815;0,00344017656585429
"Chaeropus_ecaudatus";22,8597841986175;4,03700719886928;31,99143828125;4,2036650964864;0,00426271605620121;0,00105273089319414;0,00449347484511972;0,00109509944530843;18,131275;6,12112006692467;181,535742915452;0,00384984082355519
"Notoryctes_caurinus";34,6652808652842;0;36,3066015625;0;0,00967634189133562;8,93548653946091e-05;0,00993374590886015;0,000104056894227554;8,9;0;181,655645686846;6,3873041963162e-15
"Notoryctes_typhlops";34,6652808652842;0;36,3066015625;0;0,00967634189138281;8,93548653955643e-05;0,00993374590892922;0,000104056894225132;8,9;0;181,655645686846;6,3873041963162e-15
"Cercartetus_caudatus";25,5221150071191;2,24802647998505;30,6053901953125;1,49868431999003;0,0024158171156703;0,000238351542148978;0,00269786096962123;0,000265834518108772;19,25163;2,99736863998007;181,241534023324;0,00154212072027846
"Cercartetus_concinnus";21,3393250071191;1,5502025581306;21,7992413476562;1,54244373751542;0,00158205192365167;0,000122435130111227;0,00178275853734038;0,00013945072390477;13,036775;2,14446279409302;181,239387380381;0,00105809894530122
"Cercartetus_lepidus";19,8196629237858;1,2538809140209;15,8210062988281;1,48358468474969;0,00127044225279341;8,01219609218338e-05;0,00143838740747813;9,36747543591271e-05;9,601005;1,68656706939289;181,238873825244;0,000950242397862637
"Cercartetus_nanus";19,8196629237858;1,2538809140209;15,8210062988281;1,48358468474969;0,00127044225281107;8,01219609207444e-05;0,00143838740748672;9,36747543602043e-05;9,601005;1,68656706939289;181,238873825244;0,000950242397862637
"Burramys_parvus";37,1833925071191;0;41,959150390625;0;0,00423862265147952;0,000129284121724618;0,00465213574412563;0,000142557588747451;34,8;0;181,249533527697;4,0396858737421e-15
"Spilocuscus_maculatus";7,41335906935074;1,87418392239253;6,08122184051514;2,52315437993472;0,0001956643459319;9,65715483762945e-05;0,000220146765104498;0,000108457671768723;2,91477;2,35406893104336;181,119943174413;0,00605904506836997
"Spilocuscus_kraemeri";7,5283629032157;2,33302873055185;6,09077559051514;3,11321573922712;0,0001898737906709;0,000128794942409228;0,000213618297351239;0,000143990567083974;2,999695;3,04988733394248;181,119705946664;0,00614046636448109
"Spilocuscus_papuensis";7,86216983875531;2,40168596439437;6,31570184356689;3,17329447659905;0,000214583521345838;0,000126703402603125;0,000240586678300658;0,00014184811993063;3,44293;3,14442239214286;181,119789189676;0,00615775774282044
"Spilocuscus_rufoniger";7,28641107732522;1,73144806692009;5,80525047485352;2,30224681282742;0,000199531826758138;8,27043179427769e-05;0,00022467844359079;9,28447706118119e-05;2,591375;2,14581542053556;181,119943174413;0,00596560187336516
"Spilocuscus_wilsoni";7,54722500927631;2,48697340973434;6,03951391235351;3,22080778458609;0,000194624107022702;0,000130178078373349;0,000218589407831365;0,000145848848968128;2,973015;3,23923769763701;181,119649412622;0,00625452002089706
"Phalanger_sericeus";8,31239665706858;2,01728067001184;7,36106496398926;2,46052024137343;0,000170194910782019;8,09376200868955e-05;0,000191755888254267;9,08583995356417e-05;5,51194;2,71906952789933;181,115670543646;0,00559708933948196
"Phalanger_carmelitae";6,18447914420133;1,3942375116562;4,5410333139801;1,66419775773497;8,25064780992349e-05;3,87782101666895e-05;9,33504869184335e-05;4,388309500186e-05;2,876795;1,62890266569153;181,113566245069;0,00502501934788185
"Phalanger_mimicus";5,19089520990974;0,971702715060957;2,52103192909241;1,20740508129535;4,83603124646054e-05;2,16413145297032e-05;5,47908301045436e-05;2,45046048909174e-05;1,037895;1,1749272623742;181,112771491168;0,00485088680336057
"Phalanger_orientalis";5,23741633934682;0,989182216618996;2,73528177810669;1,22090731785561;5,0035691945982e-05;2,35125664791386e-05;5,68211341963508e-05;2,66526029555802e-05;1,183725;1,15488856172018;181,112827331504;0,00485260174356556
"Phalanger_intercastellanus";5,11670063738723;1,0537820655479;2,67265971363068;1,21576210596886;4,66816844509349e-05;2,32001543285661e-05;5,31164809762024e-05;2,62885045496778e-05;1,200105;1,24535991102868;181,112806122449;0,00488163481570001
"Phalanger_rothschildi";7,16144704979135;2,52872560267009;6,02464459213257;3,19415066913526;0,000138043121013241;0,000139222079353962;0,000155562155537316;0,000155510140571487;3,49791;3,2568914188089;181,115357401818;0,00628664986630411
"Phalanger_matabiru";7,02758000205838;2,46393961986842;5,56922086395264;3,17492167804237;0,000145773694591599;0,000117856042871555;0,000164917801540319;0,000131815726596481;3,29374;3,13642773214121;181,115342508146;0,00599524680857788
