"";"species";"order";"family";"IUCN_status_real";"IUCN_status_imputed";"GE";"ED";"ED_rank";"EDGE";"EDGE_rank";"HEDGE";"HEDGE_rank";"LEDGE";"LEDGE_rank"
"1";"Abditomys_latidens";"Rodentia";"Muridae";"DD";"NT";1;3,36290049574087;3903;2,16628426805603;2815;0,00832950000232275;1747;2,07404550057836;2686
"2";"Abeomelomys_sevia";"Rodentia";"Muridae";"LC";"LC";0;5,0198015304268;2715;1,79505429040962;3671;0,0002080145000006;2891;4,160081985512;1276
"3";"Abrawayaomys_ruschii";"Rodentia";"Cricetidae";"LC";"LC";0;7,36707401746514;1611;2,12430424363087;2919;0,000284722771950524;2593;5,69417071623852;852
"4";"Abrocoma_bennettii";"Rodentia";"Abrocomidae";"LC";"LC";0;15,1448031439498;311;2,78159821113187;1697;0,000726592229400488;2069;14,5311179957804;129
"5";"Abrocoma_boliviensis";"Rodentia";"Abrocomidae";"CR";"CR";4;15,5908769772831;292;5,58144168684627;17;12,4546076480314;20;0,385194050970045;5075
"6";"Abrocoma_budini";"Rodentia";"Abrocomidae";"DD";"VU";2;9,18414540585457;1070;3,70712650014567;732;0,239439466854985;954;4,54934987024472;1151
"7";"Abrocoma_cinerea";"Rodentia";"Abrocomidae";"LC";"LC";0;8,7727644891879;1169;2,27959938295807;2547;0,000224839154225136;2814;4,4965582453485;1166
"8";"Abrocoma_famatina";"Rodentia";"Abrocomidae";"DD";"VU";2;9,27587773323552;1057;3,71609354201293;724;0,234900486576842;964;4,46310924496001;1180
"9";"Abrocoma_shistacea";"Rodentia";"Abrocomidae";"LC";"LC";0;8,49738560823552;1237;2,25101656159916;2609;0,000206943476299532;2903;4,13866258251433;1289
"10";"Abrocoma_uspallata";"Rodentia";"Abrocomidae";"DD";"EN";3;10,7768027272831;782;4,54557326772247;205;3,0209887035327;169;4,17184154297373;1270
"11";"Abrocoma_vaccarum";"Rodentia";"Abrocomidae";"DD";"EN";3;9,16119979871171;1073;4,39801806728243;263;1,58681695212852;354;2,19131864817749;2567
"12";"Abrothrix_andinus";"Rodentia";"Cricetidae";"LC";"LC";0;3,67994767998817;3637;1,54328693037736;4315;9,3986582733755e-05;3987;1,87963766809237;2886
"13";"Abrothrix_illutea";"Rodentia";"Cricetidae";"LC";"LC";0;3,79531375996707;3521,5;1,56763914101572;4229,5;9,53244100898923e-05;3975;1,90639287738776;2866
"14";"Abrothrix_jelskii";"Rodentia";"Cricetidae";"LC";"LC";0;3,72471881772489;3593;1,55280804969873;4278;0,000102962753422932;3870;2,05915210570521;2702
"15";"Abrothrix_lanosus";"Rodentia";"Cricetidae";"LC";"LC";0;3,66228673398013;3657;1,53950604322248;4325;8,0850765152847e-05;4194;1,61693445229179;3193
"16";"Abrothrix_longipilis";"Rodentia";"Cricetidae";"LC";"LC";0;4,81868544441729;2840;1,76107436757436;3758;0,000159750858001165;3238;3,1948574091653;1765
"17";"Abrothrix_olivaceus";"Rodentia";"Cricetidae";"LC";"LC";0;3,79531375996707;3521,5;1,56763914101572;4229,5;9,98944310397863e-05;3911;1,99778872636469;2762
"18";"Abrothrix_sanborni";"Rodentia";"Cricetidae";"NT";"NT";1;4,01077292419699;3357;2,30473736004418;2475;0,00701098880118062;1770;1,74573621149398;3027
"19";"Acerodon_celebensis";"Chiroptera";"Pteropodidae";"VU";"VU";2;3,54022527864378;3741;2,89927099278872;1530;0,10175154757275;1200;1,93327940388225;2830
"20";"Acerodon_humilis";"Chiroptera";"Pteropodidae";"EN";"EN";3;3,71692737820286;3596;3,63059915010403;789;0,68071311484575;640;0,94003239669175;4230
"21";"Acerodon_jubatus";"Chiroptera";"Pteropodidae";"EN";"EN";3;3,56296130535613;3711;3,59741336350064;824;0,78505820379525;592;1,08412799571725;3986
"22";"Acerodon_leucotis";"Chiroptera";"Pteropodidae";"VU";"VU";2;3,6710256218066;3646;2,92767302791846;1502;0,103821846373;1191;1,972615081087;2785
"23";"Acerodon_mackloti";"Chiroptera";"Pteropodidae";"VU";"VU";2;3,41610432658571;3850;2,87155229449536;1567;0,0812728942755;1268;1,5441849912345;3284
"24";"Acinonyx_jubatus";"Carnivora";"Felidae";"VU";"VU";2;6,19289685022163;2084;3,35938835160222;1073;0,237108750181138;957;4,50506625344162;1162
"25";"Acomys_airensis";"Rodentia";"Muridae";"LC";"LC";0;2,32089917616353;4823;1,20023558245273;5047;3,46879871691494e-05;5121;0,693725055395818;4618
"26";"Acomys_cahirinus";"Rodentia";"Muridae";"LC";"LC";0;2,27296094868389;4860;1,18569506409555;5073;3,59394129590074e-05;5092;0,71875231976719;4578
"27";"Acomys_cilicicus";"Rodentia";"Muridae";"DD";"EN";3;2,18150498045433;4928;3,23679589081151;1191;0,218413639046363;978;0,301618834873549;5172
"28";"Acomys_cineraceus";"Rodentia";"Muridae";"LC";"LC";0;2,9335450718203;4291,5;1,36954107317335;4711,5;5,90263775875e-05;4618,5;1,18046852537241;3837,5
"29";"Acomys_dimidiatus";"Rodentia";"Muridae";"LC";"LC";0;2,1952295316226;4918;1,16165892613251;5114;2,79978815521082e-05;5251;0,559929633160612;4848
"30";"Acomys_ignitus";"Rodentia";"Muridae";"LC";"LC";0;4,30370889524157;3167;1,66840636737315;3991;0,000166413;3185;3,328093587;1691
"31";"Acomys_johannis";"Rodentia";"Muridae";"LC";"LC";0;2,9335450718203;4291,5;1,36954107317335;4711,5;5,90263775875e-05;4618,5;1,18046852537241;3837,5
"32";"Acomys_kempi";"Rodentia";"Muridae";"LC";"LC";0;3,90378224948405;3427,5;1,59000679501433;4172,5;8,99791058961069e-05;4041;1,79949213881624;2962
"33";"Acomys_louisae";"Rodentia";"Muridae";"LC";"LC";0;11,294464321278;718;2,50914910589249;2133;0,0005416995;2217;10,8334483005;319
"34";"Acomys_minous";"Rodentia";"Muridae";"DD";"LC";0;2,18993358157666;4923;1,16000009575763;5118;3,741387838275e-05;5063;0,748240153776617;4532
"35";"Acomys_mullah";"Rodentia";"Muridae";"LC";"LC";0;3,48913827321815;3774;1,50166076200265;4395;7,19356569875014e-05;4345;1,43864120409304;3435
"36";"Acomys_nesiotes";"Rodentia";"Muridae";"DD";"LC";0;2,39482841436824;4773;1,22225321904661;5013;4,916688119725e-05;4835;0,983288457063803;4165
"37";"Acomys_percivali";"Rodentia";"Muridae";"LC";"LC";0;3,90378224948405;3427,5;1,59000679501433;4172,5;8,59462281410219e-05;4107;1,7188386165923;3051
"38";"Acomys_russatus";"Rodentia";"Muridae";"LC";"LC";0;5,46951164848996;2454;1,86710062629624;3492;0,0002219865;2827;4,4395080135;1192
"39";"Acomys_seurati";"Rodentia";"Muridae";"LC";"LC";0;2,22308240417809;4905;1,17033817004542;5106;3,22561662229049e-05;5169;0,645091068291876;4705
"40";"Acomys_spinosissimus";"Rodentia";"Muridae";"LC";"LC";0;7,25359334070361;1654;2,11064866196834;2947;0,000257018820382809;2673;5,14011938883579;969
"41";"Acomys_subspinosus";"Rodentia";"Muridae";"LC";"LC";0;7,3616883180413;1613;2,12366035862588;2920;0,0002873481661375;2587;5,74667597458386;839
"42";"Acomys_wilsoni";"Rodentia";"Muridae";"LC";"LC";0;4,83254816711146;2825;1,76345398327823;3746;0,000160730500142809;3232;3,21444927235603;1756
"43";"Aconaemys_fuscus";"Rodentia";"Octodontidae";"LC";"LC";0;6,12457166662191;2123,5;1,96354960738227;3278,5;9,63562741950129e-05;3955,5;1,92702912762606;2841,5
"44";"Aconaemys_porteri";"Rodentia";"Octodontidae";"DD";"NT";1;7,03719215273302;1733;2,77722696801947;1705;0,0148185000059115;1631;3,68980650147196;1519
"45";"Aconaemys_sagei";"Rodentia";"Octodontidae";"DD";"LC";0;6,12457166662191;2123,5;1,96354960738227;3278,5;9,63562741950129e-05;3955,5;1,92702912762606;2841,5
"46";"Acrobates_pygmaeus";"Diprotodontia";"Acrobatidae";"LC";"LC";0;34,1508704144111;34,5;3,55964938080673;857,5;0,00125504235;1988,5;25,09959195765;39,5
"47";"Addax_nasomaculatus";"Cetartiodactyla";"Bovidae";"CR";"CR";4;4,52069985229688;3019;4,48109335932866;225;3,47499591689672;137;0,107474100522579;5330
"48";"Aegialomys_galapagoensis";"Rodentia";"Cricetidae";"VU";"VU";2;1,81456121137918;5162,5;2,42110073538561;2262;0,0475118854429563;1398;0,902725823416169;4264
"49";"Aegialomys_xanthaeolus";"Rodentia";"Cricetidae";"LC";"LC";0;1,81456121137918;5162,5;1,03480637426572;5284;5,18429208671875e-05;4771;1,03680657442288;4062
"50";"Aepeomys_lugens";"Rodentia";"Cricetidae";"LC";"LC";0;7,37473811901989;1608,5;2,12521980785147;2917;0,0002538905647275;2685;5,07755740398527;986
"51";"Aepeomys_reigi";"Rodentia";"Cricetidae";"VU";"VU";2;7,37473811901989;1608,5;3,51151416897136;894;0,245765383314727;945;4,66954228297982;1099
"52";"Aepyceros_melampus";"Cetartiodactyla";"Bovidae";"LC";"LC";0;11,3357037598085;715;2,51249780224992;2130;0,000500141750000019;2241;10,0023348582504;353
"53";"Aepyprymnus_rufescens";"Diprotodontia";"Potoroidae";"LC";"LC";0;9,71991369337697;960;2,37210310461929;2366;0,000413776322974887;2330;8,27511268317477;482
"54";"Aeretes_melanopterus";"Rodentia";"Sciuridae";"NT";"NT";1;4,19110159202738;3226,5;2,34009310801441;2420,5;0,0036109044947913;1890,5;0,899115219203033;4265,5
"55";"Aeromys_tephromelas";"Rodentia";"Sciuridae";"DD";"LC";0;4,83961251914321;2818,5;1,76466444517713;3741,5;7,46677463302507e-05;4299,5;1,49328025885868;3358,5
"56";"Aeromys_thomasi";"Rodentia";"Sciuridae";"LC";"LC";0;4,83961251914321;2818,5;1,76466444517713;3741,5;7,46677463302507e-05;4299,5;1,49328025885868;3358,5
