"";"species";"HEDGE_rank";"HEDGE";"conservation_classification"
"573";"Burramys_parvus";1;33,756;"2 Land/water management"
"576";"Burramys_parvus";1;33,756;"3 Species management"
"2798";"Mystacina_robusta";2;28,44069973;"None"
"625";"Camelus_ferus";3;24,2500001;"1 Land/water protection"
"626";"Camelus_ferus";3;24,2500001;"2 Land/water management"
"627";"Camelus_ferus";3;24,2500001;"3 Species management"
"4965";"Varecia_rubra";4,5;22,0731087;"2 Land/water management"
"4966";"Varecia_rubra";4,5;22,0731087;"3 Species management"
"4968";"Varecia_variegata";4,5;22,0731087;"1 Land/water protection"
"4969";"Varecia_variegata";4,5;22,0731087;"2 Land/water management"
"4970";"Varecia_variegata";4,5;22,0731087;"3 Species management"
"4972";"Varecia_variegata";4,5;22,0731087;"4 Education & awareness"
"1107";"Daubentonia_madagascariensis";6;21,6552;"2 Land/water management"
"1108";"Daubentonia_madagascariensis";6;21,6552;"4 Education & awareness"
"1147";"Dicerorhinus_sumatrensis";7;21,62618554;"2 Land/water management"
"1148";"Dicerorhinus_sumatrensis";7;21,62618554;"3 Species management"
"1154";"Dicerorhinus_sumatrensis";7;21,62618554;"4 Education & awareness"
"1157";"Dicerorhinus_sumatrensis";7;21,62618554;"5 Law & policy"
"4371";"Solenodon_cubanus";8,5;19,45038291;"1 Land/water protection"
"4372";"Solenodon_cubanus";8,5;19,45038291;"2 Land/water management"
"4374";"Solenodon_paradoxus";8,5;19,45038291;"2 Land/water management"
"4376";"Solenodon_paradoxus";8,5;19,45038291;"3 Species management"
"4378";"Solenodon_paradoxus";8,5;19,45038291;"5 Law & policy"
"1745";"Indri_indri";10;18,94070022;"1 Land/water protection"
"1746";"Indri_indri";10;18,94070022;"2 Land/water management"
"1747";"Indri_indri";10;18,94070022;"3 Species management"
"1749";"Indri_indri";10;18,94070022;"4 Education & awareness"
"1497";"Gymnobelideus_leadbeateri";11;17,7787226;"1 Land/water protection"
"1498";"Gymnobelideus_leadbeateri";11;17,7787226;"2 Land/water management"
"1500";"Gymnobelideus_leadbeateri";11;17,7787226;"3 Species management"
"3728";"Prolemur_simus";12;17,3807724;"2 Land/water management"
"3729";"Prolemur_simus";12;17,3807724;"3 Species management"
"4707";"Tomopeas_ravus";13;16,61949031;"1 Land/water protection"
"4708";"Tomopeas_ravus";13;16,61949031;"2 Land/water management"
