"";"species";"LEDGE_rank";"LEDGE";"conservation_classification"
"1642";"Orycteropus_afer";1;78,576071;"None"
"687";"Dromiciops_gliroides";2;63,92328;"None"
"2078";"Ptilocercus_lowii";3;55,877206;"2 Land/water management"
"1531";"Neurotrichus_gibbsii";4;51,9974;"None"
"161";"Aplodontia_rufa";5;49,117544;"None"
"1485";"Mystacina_tuberculata";6;44,84640927;"None"
"526";"Craseonycteris_thonglongyai";7;43,9375;"1 Land/water protection"
"528";"Craseonycteris_thonglongyai";7;43,9375;"2 Land/water management"
"529";"Craseonycteris_thonglongyai";7;43,9375;"4 Education & awareness"
"1074";"Laonastes_aenigmamus";8;43,1278435;"None"
"910";"Heterocephalus_glaber";9;39,97373121;"None"
"1491";"Nandinia_binotata";10;39,658017;"None"
"579";"Cyclopes_didactylus";11;38,6480675;"2 Land/water management"
"580";"Cyclopes_didactylus";11;38,6480675;"4 Education & awareness"
"2465";"Tarsipes_rostratus";12;38,118094;"2 Land/water management"
"963";"Hyemoschus_aquaticus";13;36,55546714;"2 Land/water management"
"964";"Hyemoschus_aquaticus";13;36,55546714;"3 Species management"
"1635";"Ornithorhynchus_anatinus";14;36,52374445;"1 Land/water protection"
"1636";"Ornithorhynchus_anatinus";14;36,52374445;"2 Land/water management"
"1639";"Ornithorhynchus_anatinus";14;36,52374445;"3 Species management"
"2249";"Scaptonyx_fusicaudus";15;33,28906547;"1 Land/water protection"
"2250";"Scaptonyx_fusicaudus";15;33,28906547;"2 Land/water management"
"1152";"Loxodonta_africana";16;33,26274561;"1 Land/water protection"
"1154";"Loxodonta_africana";16;33,26274561;"2 Land/water management"
"1155";"Loxodonta_africana";16;33,26274561;"3 Species management"
"1160";"Loxodonta_africana";16;33,26274561;"4 Education & awareness"
"1163";"Loxodonta_africana";16;33,26274561;"5 Law & policy"
"1171";"Loxodonta_africana";16;33,26274561;"6 Livelihood, economic & other incentives"
"980";"Hypsiprymnodon_moschatus";17;32,138393;"None"
"1833";"Phascolarctos_cinereus";18;30,89400374;"1 Land/water protection"
"1835";"Phascolarctos_cinereus";18;30,89400374;"2 Land/water management"
"1836";"Phascolarctos_cinereus";18;30,89400374;"3 Species management"
"1840";"Phascolarctos_cinereus";18;30,89400374;"4 Education & awareness"
"635";"Daubentonia_madagascariensis";19;29,9048;"2 Land/water management"
"636";"Daubentonia_madagascariensis";19;29,9048;"4 Education & awareness"
"693";"Dugong_dugon";20;28,92203038;"1 Land/water protection"
"694";"Dugong_dugon";20;28,92203038;"2 Land/water management"
"695";"Dugong_dugon";20;28,92203038;"4 Education & awareness"
"698";"Dugong_dugon";20;28,92203038;"5 Law & policy"
